index,critic,country,org,movie_name,movie_director,movie_year,d1,d2,d1_url,birth_place,d_countries,state,direc_birthyear,age
0,Simon Abrams,US,Freelance film critic,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,"Missoula, Montana, USA", USA,Montana,1946.0,73.0
2,Simon Abrams,US,Freelance film critic,The Tree of Life ,Terrence Malick,2011.0,Terrence Malick,,/name/nm0000517/,"Ottawa, Illinois, USA", USA,Illinois,1943.0,76.0
14,Sam Adams,US,Freelance film critic,The Act of Killing ,Joshua Oppenheimer,2012.0,Joshua Oppenheimer,,/name/nm1484791/,"Texas, USA", USA,Texas,1974.0,45.0
15,Sam Adams,US,Freelance film critic,The Grand Budapest Hotel ,Wes Anderson,2014.0,Wes Anderson,,/name/nm0027572/,"Houston, Texas, USA", USA,Texas,1969.0,50.0
16,Sam Adams,US,Freelance film critic,The New World ,Terrence Malick,2004.0,Terrence Malick,,/name/nm0000517/,"Ottawa, Illinois, USA", USA,Illinois,1943.0,76.0
19,Sam Adams,US,Freelance film critic,Elephant ,Gus Van Sant,2003.0,Gus Van Sant,,/name/nm0001814/,"Louisville, Kentucky, USA", USA,Kentucky,1952.0,67.0
20,Thelma Adams,US,Freelance film critic,Zero Dark Thirty ,Kathryn Bigelow,2012.0,Kathryn Bigelow,,/name/nm0000941/,"San Carlos, California, USA", USA,California,1951.0,68.0
22,Thelma Adams,US,Freelance film critic,The Grand Budapest Hotel ,Wes Anderson,2014.0,Wes Anderson,,/name/nm0027572/,"Houston, Texas, USA", USA,Texas,1969.0,50.0
29,Thelma Adams,US,Freelance film critic,Gosford Park ,Robert Altman,2001.0,Robert Altman,,/name/nm0000265/,"Kansas City, Missouri, USA", USA,Missouri,1925.0,94.0
31,Arturo Aguilar,Mexico,Rolling Stone Mexico,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,"Missoula, Montana, USA", USA,Montana,1946.0,73.0
39,Arturo Aguilar,Mexico,Rolling Stone Mexico,There Will Be Blood ,Paul Thomas Anderson,2007.0,Paul Thomas Anderson,,/name/nm0000759/,"Studio City, California, USA", USA,California,1970.0,49.0
41,Matthew Anderson,UK,BBC Culture,Margaret ,Kenneth Lonergan,2011.0,Kenneth Lonergan,,/name/nm0518836/,"New York City, New York, USA", USA,New York,1962.0,57.0
45,Matthew Anderson,UK,BBC Culture,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,"Missoula, Montana, USA", USA,Montana,1946.0,73.0
