d1,d2,d1_url,direc_birthyear,birth_place
David Lynch,,/name/nm0000186/,1946,"Missoula, Montana, USA"
Wong Kar-wai,,/name/nm0939182/,1956,"Shanghai, China"
Terrence Malick,,/name/nm0000517/,1943,"Ottawa, Illinois, USA"
Edward Yang,,/name/nm0945981/,1947,"Shanghai, China"
Jean-Luc Godard,,/name/nm0000419/,1930,"Paris, France"
Mohammad Rasoulof,,/name/nm1488024/,,
Raoul Ruiz,,/name/nm0749914/,1941,"Puerto Montt, Chile"
Abbas Kiarostami,,/name/nm0452102/,1940,"Tehran, Iran"
Johnnie To,,/name/nm0864775/,1955,Hong Kong
Carlos Saura,,/name/nm0767022/,1932,"Huesca, Aragón, Spain"
Wong Kar-wai,,/name/nm0939182/,1956,"Shanghai, China"
Michel Gondry,,/name/nm0327273/,1963,"Versailles, Seine-et-Oise [now Yvelines], France"
Apichatpong Weerasethakul,,/name/nm0917405/,1970,"Bangkok, Thailand"
Hayao Miyazaki,,/name/nm0594503/,1941,"Tokyo, Japan"
Joshua Oppenheimer,,/name/nm1484791/,1974,"Texas, USA"
Wes Anderson,,/name/nm0027572/,1969,"Houston, Texas, USA"
Terrence Malick,,/name/nm0000517/,1943,"Ottawa, Illinois, USA"
Abbas Kiarostami,,/name/nm0452102/,1940,"Tehran, Iran"
Jia Zhangke,,/title/tt4092686/,,
Gus Van Sant,,/name/nm0001814/,1952,"Louisville, Kentucky, USA"
Kathryn Bigelow,,/name/nm0000941/,1951,"San Carlos, California, USA"
David Cronenberg,,/name/nm0000343/,1943,"Toronto, Ontario, Canada"
Wes Anderson,,/name/nm0027572/,1969,"Houston, Texas, USA"
Sarah Polley,,/name/nm0001631/,1979,"Toronto, Ontario, Canada"
Martin Campbell,,/name/nm0132709/,1943,"Hastings, New Zealand"
Michel Gondry,,/name/nm0327273/,1963,"Versailles, Seine-et-Oise [now Yvelines], France"
Miguel Gomes,,/name/nm0326937/,,
Pablo Berger,,/name/nm0074311/,,
Courtney Hunt,,/name/nm2581581/,,
Robert Altman,,/name/nm0000265/,1925,"Kansas City, Missouri, USA"
Wong Kar-wai,,/name/nm0939182/,1956,"Shanghai, China"
David Lynch,,/name/nm0000186/,1946,"Missoula, Montana, USA"
Christopher Nolan,,/name/nm0634240/,1970,"London, England, UK"
Guillermo Del Toro,,/name/nm0868219/,1964,"Guadalajara, Jalisco, Mexico"
Michael Haneke,,/name/nm0359734/,1942,"Munich, Bavaria, Germany"
Werner Herzog,,/name/nm0001348/,1942,"Munich, Bavaria, Germany"
Cristian Mungiu,,/name/nm0612816/,1968,"Iasi, Romania"
Leos Carax,,/name/nm0136021/,1960,"Suresnes, Seine [now Hauts-de-Seine], France"
Claude Lanzmann,,/name/nm0487351/,1925,"Bois-Colombes, Hauts-de-Seine, France"
Paul Thomas Anderson,,/name/nm0000759/,1970,"Studio City, California, USA"
Michael Haneke,,/name/nm0359734/,1942,"Munich, Bavaria, Germany"
Kenneth Lonergan,,/name/nm0518836/,1962,"New York City, New York, USA"
Mary Harron,,/name/nm0366004/,1953,"Bracebridge, Ontario, Canada"
Cristian Mungiu,,/name/nm0612816/,1968,"Iasi, Romania"
Michael Haneke,,/name/nm0359734/,1942,"Munich, Bavaria, Germany"
David Lynch,,/name/nm0000186/,1946,"Missoula, Montana, USA"
Jessica Hausner,,/name/nm0369618/,1972,"Vienna, Austria"
Andrea Arnold,,/name/nm0036349/,1961,"Dartford, Kent, England, UK"
Richard Linklater,,/name/nm0000500/,1960,"Houston, Texas, USA"
Pablo Larraín,,/name/nm1883257/,1976,"Santiago, Chile"
Joel, Ethan Coen,/name/nm0001054/,1954,"Minneapolis, Minnesota, USA"
Hayao Miyazaki,,/name/nm0594503/,1941,"Tokyo, Japan"
Asghar Farhadi,,/name/nm1410815/,1972,"Khomeyni Shahr, Isfahan, Iran"
Guillermo Del Toro,,/name/nm0868219/,1964,"Guadalajara, Jalisco, Mexico"
Andrew Stanton, Lee Unkrich,/name/nm0004056/,1965,"Boston, Massachusetts, USA"
Zhang Yimou,,/title/tt1269610/,,
Martin Scorsese,,/name/nm0000217/,1942,"Queens, New York City, New York, USA"
Bong Joon-ho,,/name/nm0094435/,1969,"Daegu, South Korea"
Paul Greengrass,,/name/nm0339030/,1955,"Cheam, Surrey, England, UK"
