critic,country,org,movie_name,movie_director,movie_year,d1,d2,d1_url,direc_birthyear,birth_place,d_countries,age
Simon Abrams,US,Freelance film critic,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,1946.0,"Missoula, Montana, USA", USA,73.0
Simon Abrams,US,Freelance film critic,In the Mood for Love ,Wong Kar-wai,2000.0,Wong Kar-wai,,/name/nm0939182/,1956.0,"Shanghai, China", China,63.0
Simon Abrams,US,Freelance film critic,The Tree of Life ,Terrence Malick,2011.0,Terrence Malick,,/name/nm0000517/,1943.0,"Ottawa, Illinois, USA", USA,76.0
Simon Abrams,US,Freelance film critic,Yi Yi: A One and a Two ,Edward Yang,2000.0,Edward Yang,,/name/nm0945981/,1947.0,"Shanghai, China", China,72.0
Simon Abrams,US,Freelance film critic,Goodbye to Language ,Jean-Luc Godard,2014.0,Jean-Luc Godard,,/name/nm0000419/,1930.0,"Paris, France", France,89.0
Simon Abrams,US,Freelance film critic,The White Meadows ,Mohammad Rasoulof,2009.0,Mohammad Rasoulof,,/name/nm1488024/,,,,
Simon Abrams,US,Freelance film critic,Night Across the Street ,Raoul Ruiz,2012.0,Raoul Ruiz,,/name/nm0749914/,1941.0,"Puerto Montt, Chile", Chile,78.0
Simon Abrams,US,Freelance film critic,Certified Copy ,Abbas Kiarostami,2010.0,Abbas Kiarostami,,/name/nm0452102/,1940.0,"Tehran, Iran", Iran,79.0
Simon Abrams,US,Freelance film critic,Sparrow ,Johnnie To,2008.0,Johnnie To,,/name/nm0864775/,1955.0,Hong Kong,Hong Kong,64.0
Simon Abrams,US,Freelance film critic,Fados ,Carlos Saura,2007.0,Carlos Saura,,/name/nm0767022/,1932.0,"Huesca, Aragón, Spain", Spain,87.0
Sam Adams,US,Freelance film critic,In the Mood for Love ,Wong Kar-wai,2000.0,Wong Kar-wai,,/name/nm0939182/,1956.0,"Shanghai, China", China,63.0
Sam Adams,US,Freelance film critic,Eternal Sunshine of the Spotless Mind ,Michel Gondry,2004.0,Michel Gondry,,/name/nm0327273/,1963.0,"Versailles, Seine-et-Oise [now Yvelines], France", France,56.0
Sam Adams,US,Freelance film critic,Syndromes and a Century ,Apichatpong Weerasethakul,2006.0,Apichatpong Weerasethakul,,/name/nm0917405/,1970.0,"Bangkok, Thailand", Thailand,49.0
Sam Adams,US,Freelance film critic,Spirited Away ,Hayao Miyazaki,2001.0,Hayao Miyazaki,,/name/nm0594503/,1941.0,"Tokyo, Japan", Japan,78.0
Sam Adams,US,Freelance film critic,The Act of Killing ,Joshua Oppenheimer,2012.0,Joshua Oppenheimer,,/name/nm1484791/,1974.0,"Texas, USA", USA,45.0
Sam Adams,US,Freelance film critic,The Grand Budapest Hotel ,Wes Anderson,2014.0,Wes Anderson,,/name/nm0027572/,1969.0,"Houston, Texas, USA", USA,50.0
Sam Adams,US,Freelance film critic,The New World ,Terrence Malick,2004.0,Terrence Malick,,/name/nm0000517/,1943.0,"Ottawa, Illinois, USA", USA,76.0
Sam Adams,US,Freelance film critic,Certified Copy ,Abbas Kiarostami,2010.0,Abbas Kiarostami,,/name/nm0452102/,1940.0,"Tehran, Iran", Iran,79.0
Sam Adams,US,Freelance film critic,The World ,Jia Zhangke,2004.0,Jia Zhangke,,/title/tt4092686/,,,,
Sam Adams,US,Freelance film critic,Elephant ,Gus Van Sant,2003.0,Gus Van Sant,,/name/nm0001814/,1952.0,"Louisville, Kentucky, USA", USA,67.0
Thelma Adams,US,Freelance film critic,Zero Dark Thirty ,Kathryn Bigelow,2012.0,Kathryn Bigelow,,/name/nm0000941/,1951.0,"San Carlos, California, USA", USA,68.0
Thelma Adams,US,Freelance film critic,A History of Violence ,David Cronenberg,2005.0,David Cronenberg,,/name/nm0000343/,1943.0,"Toronto, Ontario, Canada", Canada,76.0
Thelma Adams,US,Freelance film critic,The Grand Budapest Hotel ,Wes Anderson,2014.0,Wes Anderson,,/name/nm0027572/,1969.0,"Houston, Texas, USA", USA,50.0
Thelma Adams,US,Freelance film critic,Stories We Tell ,Sarah Polley,2012.0,Sarah Polley,,/name/nm0001631/,1979.0,"Toronto, Ontario, Canada", Canada,40.0
Thelma Adams,US,Freelance film critic,Casino Royale ,Martin Campbell,2006.0,Martin Campbell,,/name/nm0132709/,1943.0,"Hastings, New Zealand", New Zealand,76.0
Thelma Adams,US,Freelance film critic,Eternal Sunshine of the Spotless Mind ,Michel Gondry,2004.0,Michel Gondry,,/name/nm0327273/,1963.0,"Versailles, Seine-et-Oise [now Yvelines], France", France,56.0
Thelma Adams,US,Freelance film critic,Tabu ,Miguel Gomes,2012.0,Miguel Gomes,,/name/nm0326937/,,,,
Thelma Adams,US,Freelance film critic,Snow White ,Pablo Berger,2012.0,Pablo Berger,,/name/nm0074311/,,,,
Thelma Adams,US,Freelance film critic,Frozen River ,Courtney Hunt,2008.0,Courtney Hunt,,/name/nm2581581/,,,,
Thelma Adams,US,Freelance film critic,Gosford Park ,Robert Altman,2001.0,Robert Altman,,/name/nm0000265/,1925.0,"Kansas City, Missouri, USA", USA,94.0
Arturo Aguilar,Mexico,Rolling Stone Mexico,In the Mood for Love ,Wong Kar-wai,2000.0,Wong Kar-wai,,/name/nm0939182/,1956.0,"Shanghai, China", China,63.0
Arturo Aguilar,Mexico,Rolling Stone Mexico,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,1946.0,"Missoula, Montana, USA", USA,73.0
Arturo Aguilar,Mexico,Rolling Stone Mexico,Inception ,Christopher Nolan,2010.0,Christopher Nolan,,/name/nm0634240/,1970.0,"London, England, UK", UK,49.0
Arturo Aguilar,Mexico,Rolling Stone Mexico,Pan's Labyrinth ,Guillermo Del Toro,2006.0,Guillermo Del Toro,,/name/nm0868219/,1964.0,"Guadalajara, Jalisco, Mexico", Mexico,55.0
Arturo Aguilar,Mexico,Rolling Stone Mexico,Caché ,Michael Haneke,2005.0,Michael Haneke,,/name/nm0359734/,1942.0,"Munich, Bavaria, Germany", Germany,77.0
Arturo Aguilar,Mexico,Rolling Stone Mexico,Grizzly Man ,Werner Herzog,2005.0,Werner Herzog,,/name/nm0001348/,1942.0,"Munich, Bavaria, Germany", Germany,77.0
Arturo Aguilar,Mexico,Rolling Stone Mexico,"4 Months, 3 Weeks & 2 Days ",Cristian Mungiu,2007.0,Cristian Mungiu,,/name/nm0612816/,1968.0,"Iasi, Romania", Romania,51.0
Arturo Aguilar,Mexico,Rolling Stone Mexico,Holy Motors ,Leos Carax,2012.0,Leos Carax,,/name/nm0136021/,1960.0,"Suresnes, Seine [now Hauts-de-Seine], France", France,59.0
Arturo Aguilar,Mexico,Rolling Stone Mexico,The Last of the Unjust ,Claude Lanzmann,2013.0,Claude Lanzmann,,/name/nm0487351/,1925.0,"Bois-Colombes, Hauts-de-Seine, France", France,94.0
Arturo Aguilar,Mexico,Rolling Stone Mexico,There Will Be Blood ,Paul Thomas Anderson,2007.0,Paul Thomas Anderson,,/name/nm0000759/,1970.0,"Studio City, California, USA", USA,49.0
Matthew Anderson,UK,BBC Culture,The Piano Teacher ,Michael Haneke,2001.0,Michael Haneke,,/name/nm0359734/,1942.0,"Munich, Bavaria, Germany", Germany,77.0
Matthew Anderson,UK,BBC Culture,Margaret ,Kenneth Lonergan,2011.0,Kenneth Lonergan,,/name/nm0518836/,1962.0,"New York City, New York, USA", USA,57.0
Matthew Anderson,UK,BBC Culture,American Psycho ,Mary Harron,2000.0,Mary Harron,,/name/nm0366004/,1953.0,"Bracebridge, Ontario, Canada", Canada,66.0
