state,state_num,Latitude,Longitude
California,115,37.2718745,-119.2704153
New York,97,40.7056258,-73.97968
Texas,90,31.1693363,-100.0768425
Minnesota,60,46.4418595,-93.3655146
Montana,55,46.6797995,-110.04478300000000
Illinois,38,39.739318,-89.504139
Colorado,35,38.9979339,-105.55056700000000
Ohio,20,40.1903624,-82.6692525
Tennessee,19,35.830521000000000,-85.97859890000000
Georgia,18,32.6781248,-83.22297570000000
Massachusetts,17,42.062939800000000,-71.718067
Indiana,15,39.7662195,-86.441277
Maryland,11,38.806352400000000,-77.2684162
New Jersey,9,40.1430058,-74.7311156
Kentucky,9,37.8222935,-85.76823990000000
Michigan,7,44.9435598,-86.41580490000000
Nebraska,6,41.5008195,-99.680902
Pennsylvania,5,40.99459280000000,-77.6046984
Virginia,3,38.0033855,-79.4587861
Wisconsin,3,44.7862968,-89.82670490000000
Missouri,3,38.3046615,-92.437099
Rhode Island,2,41.5827282,-71.5064508
North Carolina,2,35.2145629,-79.8912675
Hawaii,2,20.46,-157.505
Vermont,2,43.8717545,-72.4477828
District of Columbia,1,38.899348700000000,-77.0145666
Kansas,1,38.4987789,-98.32007790000000
Arkansas,1,34.7519275,-92.13137840000000
Mississippi,1,32.5851062,-89.8772196
