d1,d2,d1_url
David Lynch,,/name/nm0000186/
Wong Kar-wai,,/name/nm0939182/
Terrence Malick,,/name/nm0000517/
Edward Yang,,/name/nm0945981/
Jean-Luc Godard,,/name/nm0000419/
Mohammad Rasoulof,,/name/nm1488024/
Raoul Ruiz,,/name/nm0749914/
Abbas Kiarostami,,/name/nm0452102/
Johnnie To,,/name/nm0864775/
Carlos Saura,,/name/nm0767022/
Wong Kar-wai,,/name/nm0939182/
Michel Gondry,,/name/nm0327273/
Apichatpong Weerasethakul,,/name/nm0917405/
Hayao Miyazaki,,/name/nm0594503/
Joshua Oppenheimer,,/name/nm1484791/
Wes Anderson,,/name/nm0027572/
Terrence Malick,,/name/nm0000517/
Abbas Kiarostami,,/name/nm0452102/
Jia Zhangke,,/title/tt4092686/
Gus Van Sant,,/name/nm0001814/
Kathryn Bigelow,,/name/nm0000941/
David Cronenberg,,/name/nm0000343/
Wes Anderson,,/name/nm0027572/
Sarah Polley,,/name/nm0001631/
Martin Campbell,,/name/nm0132709/
Michel Gondry,,/name/nm0327273/
Miguel Gomes,,/name/nm0326937/
Pablo Berger,,/name/nm0074311/
Courtney Hunt,,/name/nm2581581/
Robert Altman,,/name/nm0000265/
Wong Kar-wai,,/name/nm0939182/
David Lynch,,/name/nm0000186/
Christopher Nolan,,/name/nm0634240/
Guillermo Del Toro,,/name/nm0868219/
Michael Haneke,,/name/nm0359734/
Werner Herzog,,/name/nm0001348/
Cristian Mungiu,,/name/nm0612816/
Leos Carax,,/name/nm0136021/
Claude Lanzmann,,/name/nm0487351/
Paul Thomas Anderson,,/name/nm0000759/
Michael Haneke,,/name/nm0359734/
Kenneth Lonergan,,/name/nm0518836/
Mary Harron,,/name/nm0366004/
Cristian Mungiu,,/name/nm0612816/
Michael Haneke,,/name/nm0359734/
David Lynch,,/name/nm0000186/
Jessica Hausner,,/name/nm0369618/
Andrea Arnold,,/name/nm0036349/
Richard Linklater,,/name/nm0000500/
Pablo Larraín,,/name/nm1883257/
Joel, Ethan Coen,/name/nm0001054/
Hayao Miyazaki,,/name/nm0594503/
Asghar Farhadi,,/name/nm1410815/
Guillermo Del Toro,,/name/nm0868219/
Andrew Stanton, Lee Unkrich,/name/nm0004056/
Zhang Yimou,,/title/tt1269610/
Martin Scorsese,,/name/nm0000217/
Bong Joon-ho,,/name/nm0094435/
Paul Greengrass,,/name/nm0339030/
Steven Soderbergh,,/name/nm0001752/
Danièle Huillet, Jean-Marie Straub,/name/nm0401247/
Marco Bellocchio,,/name/nm0069166/
Michelangelo Frammartino,,/name/nm1506005/
