state,m_d,state_num,Latitude,Longitude
Arkansas,"Movie: Take Shelter  Director: Jeff Nichols
",1,34.7519275,-92.1313784
California,"Movie: Zero Dark Thirty  Director: Kathryn Bigelow
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: The Master  Director: Paul Thomas Anderson
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: Selma  Director: Ava DuVernay
Movie: Far From Heaven  Director: Todd Haynes
Movie: Inherent Vice  Director: Paul Thomas Anderson
Movie: Million Dollar Baby  Director: Clint Eastwood
Movie: Spring Breakers  Director: Harmony Korine
Movie: Star Wars: Episode III – Revenge of the Sith  Director: George Lucas
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: Almost Famous  Director: Cameron Crowe
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: Spring Breakers  Director: Harmony Korine
Movie: World of Tomorrow  Director: Don Hertzfeldt
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: Mystic River  Director: Clint Eastwood
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: Far From Heaven  Director: Todd Haynes
Movie: It's Such a Beautiful Day  Director: Don Hertzfeldt
Movie: Carol  Director: Todd Haynes
Movie: World of Tomorrow  Director: Don Hertzfeldt
Movie: Almost Famous  Director: Cameron Crowe
Movie: Nightcrawler  Director: Dan Gilroy
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: Jersey Boys  Director: Clint Eastwood
Movie: Open Range  Director: Kevin Costner
Movie: Punch-Drunk Love  Director: Paul Thomas Anderson
Movie: Far From Heaven  Director: Todd Haynes
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: Spring Breakers  Director: Harmony Korine
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: The Master  Director: Paul Thomas Anderson
Movie: It's Such a Beautiful Day  Director: Don Hertzfeldt
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: Selma  Director: Ava DuVernay
Movie: Pain & Gain  Director: Michael Bay
Movie: Fruitvale Station  Director: Ryan Coogler
Movie: Spring Breakers  Director: Harmony Korine
Movie: Gran Torino  Director: Clint Eastwood
Movie: Fruitvale Station  Director: Ryan Coogler
Movie: Middle of Nowhere  Director: Ava DuVernay
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: Spring Breakers  Director: Harmony Korine
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: The Hurt Locker  Director: Kathryn Bigelow
Movie: Zero Dark Thirty  Director: Kathryn Bigelow
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: Punch-Drunk Love  Director: Paul Thomas Anderson
Movie: The Master  Director: Paul Thomas Anderson
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: The Master  Director: Paul Thomas Anderson
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: Far From Heaven  Director: Todd Haynes
Movie: Far From Heaven  Director: Todd Haynes
Movie: Letters From Iwo Jima  Director: Clint Eastwood
Movie: Carol  Director: Todd Haynes
Movie: The Hurt Locker  Director: Kathryn Bigelow
Movie: Letters From Iwo Jima  Director: Clint Eastwood
Movie: Million Dollar Baby  Director: Clint Eastwood
Movie: Inherent Vice  Director: Paul Thomas Anderson
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: Selma  Director: Ava DuVernay
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: Carol  Director: Todd Haynes
Movie: Fruitvale Station  Director: Ryan Coogler
Movie: Spring Breakers  Director: Harmony Korine
Movie: Zero Dark Thirty  Director: Kathryn Bigelow
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: Almost Famous  Director: Cameron Crowe
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: Carol  Director: Todd Haynes
Movie: The Master  Director: Paul Thomas Anderson
Movie: The Hurt Locker  Director: Kathryn Bigelow
Movie: Sin Nombre  Director: Cary Joji Fukunaga
Movie: Fruitvale Station  Director: Ryan Coogler
Movie: Inherent Vice  Director: Paul Thomas Anderson
Movie: Carol  Director: Todd Haynes
Movie: Spring Breakers  Director: Harmony Korine
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: The Master  Director: Paul Thomas Anderson
Movie: It's Such a Beautiful Day  Director: Don Hertzfeldt
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: Selma  Director: Ava DuVernay
Movie: The Hurt Locker  Director: Kathryn Bigelow
Movie: Carol  Director: Todd Haynes
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: Zero Dark Thirty  Director: Kathryn Bigelow
Movie: Monster  Director: Patty Jenkins
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: Letters From Iwo Jima  Director: Clint Eastwood
Movie: Almost Famous  Director: Cameron Crowe
Movie: Punch-Drunk Love  Director: Paul Thomas Anderson
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: Zero Dark Thirty  Director: Kathryn Bigelow
Movie: Inherent Vice  Director: Paul Thomas Anderson
Movie: The Hurt Locker  Director: Kathryn Bigelow
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: The Master  Director: Paul Thomas Anderson
Movie: The Master  Director: Paul Thomas Anderson
Movie: Million Dollar Baby  Director: Clint Eastwood
Movie: The Master  Director: Paul Thomas Anderson
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: Captain America: Winter Soldier  Director: Anthony
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: The Hurt Locker  Director: Kathryn Bigelow
Movie: There Will Be Blood  Director: Paul Thomas Anderson
Movie: Selma  Director: Ava DuVernay
",115,37.2718745,-119.2704153
Colorado,"Movie: Zodiac  Director: David Fincher
Movie: The Social Network  Director: David Fincher
Movie: The Social Network  Director: David Fincher
Movie: The Curious Case of Benjamin Button  Director: David Fincher
Movie: Zodiac  Director: David Fincher
Movie: The Social Network  Director: David Fincher
Movie: Zodiac  Director: David Fincher
Movie: The Social Network  Director: David Fincher
Movie: The Social Network  Director: David Fincher
Movie: Blue Valentine  Director: Derek Cianfrance
Movie: The Social Network  Director: David Fincher
Movie: Zodiac  Director: David Fincher
Movie: Zodiac  Director: David Fincher
Movie: Gone Girl  Director: David Fincher
Movie: The Social Network  Director: David Fincher
Movie: Zodiac  Director: David Fincher
Movie: Blue Valentine  Director: Derek Cianfrance
Movie: The Curious Case of Benjamin Button  Director: David Fincher
Movie: The Social Network  Director: David Fincher
Movie: Zodiac  Director: David Fincher
Movie: The Social Network  Director: David Fincher
Movie: Blue Valentine  Director: Derek Cianfrance
Movie: Zodiac  Director: David Fincher
Movie: Zodiac  Director: David Fincher
Movie: The Social Network  Director: David Fincher
Movie: Zodiac  Director: David Fincher
Movie: Zodiac  Director: David Fincher
Movie: Zodiac  Director: David Fincher
Movie: The Social Network  Director: David Fincher
Movie: Zodiac  Director: David Fincher
Movie: Team America: World Police  Director: Trey Parker
Movie: Zodiac  Director: David Fincher
Movie: Zodiac  Director: David Fincher
Movie: The Social Network  Director: David Fincher
Movie: The Social Network  Director: David Fincher
",35,38.9979339,-105.550567
District of Columbia,"Movie: Love & Friendship  Director: Whit Stillman
",1,38.8993487,-77.0145666
Georgia,"Movie: Traffic  Director: Steven Soderbergh
Movie: 25th Hour Director: Spike Lee
Movie: Bamboozled  Director: Spike Lee
Movie: 25th Hour Director: Spike Lee
Movie: 25th Hour Director: Spike Lee
Movie: When the Levees Broke: A Requiem in Four Acts  Director: Spike Lee
Movie: Che  Director: Steven Soderbergh
Movie: 25th Hour Director: Spike Lee
Movie: Traffic  Director: Steven Soderbergh
Movie: 25th Hour Director: Spike Lee
Movie: Che  Director: Steven Soderbergh
Movie: 25th Hour Director: Spike Lee
Movie: 25th Hour Director: Spike Lee
Movie: 25th Hour Director: Spike Lee
Movie: 25th Hour Director: Spike Lee
Movie: 25th Hour Director: Spike Lee
Movie: 25th Hour Director: Spike Lee
Movie: 25th Hour Director: Spike Lee
",18,32.6781248,-83.2229757
Hawaii,"Movie: Short Term 12 Director: Destin Daniel Cretton
Movie: Short Term 12 Director: Destin Daniel Cretton
",2,20.46,-157.505
Illinois,"Movie: The Tree of Life  Director: Terrence Malick
Movie: The New World  Director: Terrence Malick
Movie: The New World  Director: Terrence Malick
Movie: The Tree of Life  Director: Terrence Malick
Movie: The Tree of Life  Director: Terrence Malick
Movie: The Tree of Life  Director: Terrence Malick
Movie: The Tree of Life  Director: Terrence Malick
Movie: The Tree of Life  Director: Terrence Malick
Movie: Collateral  Director: Michael Mann
Movie: The Tree of Life  Director: Terrence Malick
Movie: The New World  Director: Terrence Malick
Movie: Heart of a Dog  Director: Laurie Anderson
Movie: The New World  Director: Terrence Malick
Movie: The Tree of Life  Director: Terrence Malick
Movie: Quills  Director: Philip Kaufman
Movie: The Tree of Life  Director: Terrence Malick
Movie: The Tree of Life  Director: Terrence Malick
Movie: The Tree of Life  Director: Terrence Malick
Movie: The Tree of Life  Director: Terrence Malick
Movie: The Tree of Life  Director: Terrence Malick
Movie: Cast Away  Director: Robert Zemeckis
Movie: The Tree of Life  Director: Terrence Malick
Movie: Miami Vice  Director: Michael Mann
Movie: The New World  Director: Terrence Malick
Movie: The Tree of Life  Director: Terrence Malick
Movie: The Tree of Life  Director: Terrence Malick
Movie: The Tree of Life  Director: Terrence Malick
Movie: Sita Sings the Blues  Director: Nina Paley
Movie: The New World  Director: Terrence Malick
Movie: The Tree of Life  Director: Terrence Malick
Movie: The New World  Director: Terrence Malick
Movie: The Tree of Life  Director: Terrence Malick
Movie: The Tree of Life  Director: Terrence Malick
Movie: Knight of Cups  Director: Terrence Malick
Movie: The New World  Director: Terrence Malick
Movie: The Tree of Life  Director: Terrence Malick
Movie: The Tree of Life  Director: Terrence Malick
Movie: The Tree of Life  Director: Terrence Malick
",38,39.739318,-89.504139
Indiana,"Movie: 12 Years a Slave Director: Steve McQueen
Movie: 12 Years a Slave Director: Steve McQueen
Movie: Shame  Director: Steve McQueen
Movie: 12 Years a Slave Director: Steve McQueen
Movie: Hunger  Director: Steve McQueen
Movie: 12 Years a Slave Director: Steve McQueen
Movie: Shame  Director: Steve McQueen
Movie: 12 Years a Slave Director: Steve McQueen
Movie: Shame  Director: Steve McQueen
Movie: 12 Years a Slave Director: Steve McQueen
Movie: 12 Years a Slave Director: Steve McQueen
Movie: 12 Years a Slave Director: Steve McQueen
Movie: 12 Years a Slave Director: Steve McQueen
Movie: 12 Years a Slave Director: Steve McQueen
Movie: Shame  Director: Steve McQueen
",15,39.7662195,-86.441277
Kansas,"Movie: Frozen  Director: Chris Buck
",1,38.4987789,-98.3200779
Kentucky,"Movie: Elephant  Director: Gus Van Sant
Movie: Elephant  Director: Gus Van Sant
Movie: Elephant  Director: Gus Van Sant
Movie: Elephant  Director: Gus Van Sant
Movie: Elephant  Director: Gus Van Sant
Movie: Good Night and Good Luck  Director: George Clooney
Movie: Good Night and Good Luck  Director: George Clooney
Movie: Elephant  Director: Gus Van Sant
Movie: Gerry  Director: Gus Van Sant
",9,37.8222935,-85.7682399
